City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
2,Iracoubo,GF,84.29,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
4,Meulaboh,ID,78.44,overcast clouds,4.1363,96.1285,Kost Pria
5,Kavieng,PG,82.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
13,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
18,Bengkulu,ID,76.37,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
19,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
25,Atuona,PF,76.78,overcast clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
38,Kendari,ID,76.68,overcast clouds,-3.945,122.4989,Hotel Wixel
39,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
43,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
44,Sinnamary,GF,84.58,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
46,Presidencia Roque Saenz Pena,AR,80.01,clear sky,-26.7852,-60.4388,Hotel Gualok
49,Fort-Shevchenko,KZ,77.5,clear sky,44.5086,50.263,Oasis hotel Bautino
53,Oussouye,SN,79.52,moderate rain,12.485,-16.5469,Auberge du Routard
57,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
58,Palimbang,PH,79.9,overcast clouds,6.2106,124.1894,Felmar Beach resort
59,Muroto,JP,82.18,light rain,33.2833,134.15,Oota Ryokan
61,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
63,Dingle,PH,77.23,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
64,Ponta Do Sol,PT,79.72,light rain,32.6667,-17.1,Hotel do Campo
75,Namatanai,PG,79.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
78,Faanui,PF,77.13,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Lai,TD,79.18,light rain,9.3952,16.2989,Auberge la Citadelle
86,Nuzvid,IN,81.45,overcast clouds,16.7833,80.85,HI-TECH LODGE
88,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
89,Kodarma,IN,78.71,overcast clouds,24.4667,85.6,"Surywanshi House,Jalwabad ( C/o Gurmit Singh )"
97,San Cristobal,VE,76.03,broken clouds,7.7669,-72.225,Pirineos
100,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
102,Frutal,BR,79.59,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
107,Jaque,PA,75.96,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
113,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
114,Port Blair,IN,81.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Niquero,CU,81.07,clear sky,20.0431,-77.5828,Islazul Niquero
118,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
128,Santa Isabel Do Rio Negro,BR,82.81,overcast clouds,-0.4139,-65.0192,Hotel GSA
131,Richards Bay,ZA,75.74,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
132,Tulagi,SB,83.46,overcast clouds,-9.0996,160.1476,Vanita Motel & Restaurant
137,Korla,CN,77.83,overcast clouds,41.7597,86.1469,Gulisitan Hotel
138,Dicabisagan,PH,78.66,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
139,Port Keats,AU,77.83,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
141,Am Timan,TD,79.18,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
147,Marsh Harbour,BS,82.99,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
154,Jianhu,CN,80.55,few clouds,29.9799,120.5712,Holiday Inn Shaoxing
158,Yumbing,PH,82.58,overcast clouds,9.2393,124.6578,Medano Island Resort
161,Galle,LK,80.11,overcast clouds,6.0367,80.217,Amangalla
170,Yenagoa,NG,83.75,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
179,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
181,Touros,BR,83.21,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
182,Kirakira,SB,80.37,overcast clouds,-10.4544,161.9205,SanBiz Lodge
183,Cienfuegos,CU,80.74,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
187,Araci,BR,82.36,few clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
189,Varazze,IT,76.84,clear sky,44.3595,8.5741,Hotel Le Palme
192,Maragogi,BR,80.38,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
195,Puqi,CN,78.48,clear sky,29.7167,113.8833,Ramada Plaza Chibi
196,Bontang,ID,81.59,few clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
198,Iberia,US,77.05,clear sky,29.9502,-91.7507,back to back rv park
200,Benguela,AO,77.45,clear sky,-12.5763,13.4055,Hotel Praia Morena
203,Celestun,MX,77.34,clear sky,20.8667,-90.4,Posada Lilia
206,Kavaratti,IN,81.68,overcast clouds,10.5669,72.642,Green leaf
209,Boffa,GN,83.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
215,Katobu,ID,76.69,overcast clouds,-4.9408,122.5276,La Ode Husein
222,Kloulklubed,PW,80.44,moderate rain,7.0419,134.2556,Storyboard Beach Resort
223,Omboue,GA,79.16,overcast clouds,-1.5746,9.2618,Hotel Olako
225,Buta,CD,80.76,overcast clouds,2.7858,24.73,Hôtel BOPANDO
235,Cotonou,BJ,79.97,light rain,6.3654,2.4183,Novotel Cotonou Orisha
236,Crotone,IT,78.19,scattered clouds,39.0851,17.1178,Helios Hotel
237,Sulangan,PH,84.99,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
241,Nurota,UZ,84.63,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
246,Yola,NG,84.4,light rain,9.2,12.4833,Muna Hotel
247,Bardiyah,LY,83.19,clear sky,31.7561,25.0865,بورتو بردية
257,Ambon,ID,82.24,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
260,Mangan,IN,76.71,scattered clouds,27.5167,88.5333,Hotel Mout View
263,Dori,BF,83.91,light rain,14.0354,-0.0345,Hôtel Liptako
265,Sao Jose Da Coroa Grande,BR,80.65,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
267,Phan Thiet,VN,80.04,overcast clouds,10.9333,108.1,Hotel Saigon-PT
268,Kita,ML,84.29,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
269,Along,IN,78.76,clear sky,28.1667,94.7667,Hotel West
272,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
275,Manokwari,ID,78.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
282,Auki,SB,77.54,overcast clouds,-8.7676,160.7034,Auki Motel
283,Aloleng,PH,81.03,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
284,Srivardhan,IN,80.01,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
295,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
296,Hirara,JP,80.62,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
303,Sao Filipe,CV,78.01,scattered clouds,14.8961,-24.4956,Hotel Xaguate
