City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Olinda,BR,-8.0089,-34.8553,78.53,78,75,12.66,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,6.91,clear sky
2,Iracoubo,GF,5.4802,-53.2011,84.29,68,30,11.07,scattered clouds
3,Bethel,US,41.3712,-73.414,68.56,88,19,3.0,few clouds
4,Meulaboh,ID,4.1363,96.1285,78.44,77,100,5.17,overcast clouds
5,Kavieng,PG,-2.5744,150.7967,82.11,74,88,6.96,overcast clouds
6,Vyartsilya,RU,62.1764,30.693,56.61,100,55,4.63,broken clouds
7,Albany,US,42.6001,-73.9662,67.73,93,88,3.49,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,46.47,89,99,4.07,overcast clouds
9,Khatanga,RU,71.9667,102.5,26.65,80,9,8.77,clear sky
10,Alofi,NU,-19.0595,-169.9187,73.29,94,1,6.91,clear sky
11,Avarua,CK,-21.2078,-159.775,71.65,94,40,5.75,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,37.06,75,0,8.05,clear sky
13,Georgetown,MY,5.4112,100.3354,83.89,78,20,5.01,few clouds
14,Padang,ID,-0.9492,100.3543,73.45,88,100,3.87,moderate rain
15,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,77,40,8.05,scattered clouds
16,Geraldton,AU,-28.7667,114.6,57.61,88,40,6.91,scattered clouds
17,Constitucion,CL,-35.3333,-72.4167,47.46,70,2,8.81,clear sky
18,Bengkulu,ID,-3.8004,102.2655,76.37,89,100,7.23,overcast clouds
19,Kankon,IN,15.0167,74.0167,76.8,85,92,5.91,overcast clouds
20,Mount Gambier,AU,-37.8333,140.7667,47.71,78,92,8.43,overcast clouds
21,Barrow,US,71.2906,-156.7887,33.82,93,100,14.97,mist
22,Saskylakh,RU,71.9167,114.0833,28.92,95,67,7.4,broken clouds
23,Mahebourg,MU,-20.4081,57.7,73.69,64,75,16.11,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,71.37,64,86,17.87,overcast clouds
25,Atuona,PF,-9.8,-139.0333,76.78,72,85,23.94,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,24.03,56,0,7.47,clear sky
27,Manicore,BR,-5.8092,-61.3003,88.61,52,7,4.0,moderate rain
28,Pacific Grove,US,36.6177,-121.9166,62.42,74,20,8.05,light rain
29,Puerto Ayora,EC,-0.7393,-90.3518,66.54,91,97,7.0,overcast clouds
30,Gorin,RU,51.1983,136.6669,51.84,99,78,5.73,broken clouds
31,Lebu,CL,-37.6167,-73.65,45.86,61,8,3.44,clear sky
32,Zhanaozen,KZ,43.3,52.8,86.4,20,1,12.08,clear sky
33,Hermanus,ZA,-34.4187,19.2345,59.81,66,95,16.93,light rain
34,Carnarvon,AU,-24.8667,113.6333,66.6,67,8,21.5,clear sky
35,Souillac,MU,-20.5167,57.5167,73.78,64,75,16.11,broken clouds
36,Busselton,AU,-33.65,115.3333,54.32,78,100,8.72,overcast clouds
37,Pecos,US,31.4229,-103.4932,71.31,83,0,5.75,clear sky
38,Kendari,ID,-3.945,122.4989,76.68,91,99,2.82,overcast clouds
39,Hilo,US,19.7297,-155.09,78.28,89,100,8.05,overcast clouds
40,Samarai,PG,-10.6167,150.6667,81.64,82,97,11.68,overcast clouds
41,Bowen,AU,-20.0167,148.2333,73.74,90,1,6.78,clear sky
42,Alice Springs,AU,-23.7,133.8833,65.75,30,80,9.22,broken clouds
43,Bombay,IN,19.0144,72.8479,80.58,89,75,3.44,haze
44,Sinnamary,GF,5.3833,-52.95,84.58,65,14,11.59,few clouds
